id,nome,cpf,dt_nascimento,nome_responsavel,matricula,dt_matricula,email,tb_curso_id
99,Danilo Lima,60012928900,2005-05-08,Vicente Cunha Azevedo,255939,2020-04-23,danilo_lima@mail.com,5
100,Beatriz Porto,45683867114,2005-03-26,Bárbara Costela Mendes,470328,2019-05-11,beatriz_porto@mail.com,2
101,Breno Caldeira,89953925024,1995-03-02,Lara Fogaça Almeida,575417,2021-09-26,breno_caldeira@mail.com,5
102,Vicente Gomes,34023033984,1987-01-06,João Pedro Sales Nogueira,105865,2020-12-15,vicente_gomes@mail.com,6
103,Vitória Barbosa,52527941880,1994-02-06,Luiz Miguel Jesus Cardoso,910196,2020-09-08,vitória_barbosa@mail.com,5
104,Pedro Ribeiro,58905137400,2005-05-09,João Pedro Duarte Aragão,298518,2021-09-15,pedro_ribeiro@mail.com,6
105,Clara da Costa,79572626932,1997-03-03,Julia Silva Fernandes,73468,2020-02-12,clara_da@mail.com,4
106,Emanuel Mendes,95431312813,1984-02-16,Nicole Lopes Moreira,122599,2023-09-10,emanuel_mendes@mail.com,6
107,Marina Pires,74570933487,1998-12-23,Henrique Cunha Moura,612198,2020-03-15,marina_pires@mail.com,5
108,Eloah da Cruz,51158909932,1990-03-31,Pedro Gonçalves Fernandes,392589,2019-09-27,eloah_da@mail.com,5
109,Maria Fernanda Barros,5259561979,2000-07-23,Fernando da Cunha Silva,554447,2019-05-26,maria_fernanda@mail.com,6
110,Vitória Melo,20388189825,1989-08-15,Rodrigo Cardoso Ferreira,489765,2023-07-20,vitória_melo@mail.com,3
111,Cauê Melo,97477636011,1985-09-17,Diego Duarte Novaes,752690,2020-07-23,cauê_melo@mail.com,5
112,Isis da Conceição,90649621968,1994-03-29,Nina da Paz da Conceição,972024,2023-09-12,isis_da@mail.com,1
113,Francisco Cardoso,47875513708,1985-02-14,Samuel Lopes Souza,881003,2023-04-04,francisco_cardoso@mail.com,3
114,Pedro Henrique Nascimento,9196716815,1992-01-20,Sophie Pinto Cavalcanti,235096,2023-02-26,pedro_henrique@mail.com,5
115,Arthur Moreira,99386025980,2005-05-16,Lucas da Rosa da Mota,439742,2020-09-11,arthur_moreira@mail.com,6
116,Kevin Mendes,42729623610,1989-10-30,Manuela da Rosa Alves,938267,2023-04-18,kevin_mendes@mail.com,5
117,Guilherme da Costa,97258877948,1993-12-03,Samuel Pereira Castro,52730,2021-01-02,guilherme_da@mail.com,4
118,Davi Lucas Gonçalves,38711439703,1984-01-30,Letícia Dias Cavalcanti,919934,2023-07-15,davi_lucas@mail.com,1
119,Juliana Nascimento,74965632686,1993-06-05,Davi Lucas Costa Farias,989730,2021-04-18,juliana_nascimento@mail.com,5
120,Henrique da Cruz,71176477768,1994-02-04,Catarina Cunha da Rocha,432229,2021-07-05,henrique_da@mail.com,6
121,Thomas Duarte,69114341107,1984-06-20,Maria Peixoto Ribeiro,731806,2023-09-18,thomas_duarte@mail.com,5
122,Ana Luiza Gomes,21264696799,1987-04-06,Melissa Barros Silva,904533,2023-12-02,ana_luiza@mail.com,3
123,Raquel Porto,28961543170,1989-02-26,João Guilherme Costa da Rosa,243406,2021-09-07,raquel_porto@mail.com,3
124,Lucas Gabriel Teixeira,83324093923,1986-05-03,Olivia Moura da Luz,277203,2019-10-26,lucas_gabriel@mail.com,1
125,Lucca Lima,30305275603,1998-11-29,Olivia da Costa Cardoso,41941,2022-11-17,lucca_lima@mail.com,3
126,João Cunha,27591822934,2002-09-06,Erick Cardoso Cavalcanti,389145,2020-04-15,joão_cunha@mail.com,5
127,Luiz Fernando Barros,14044197572,1995-06-04,Elisa Araújo Vieira,846541,2023-11-08,luiz_fernando@mail.com,6
128,Luna Rocha,9038329442,1998-03-23,Leandro Barros Santos,944911,2020-05-17,luna_rocha@mail.com,6
129,Vinicius Vieira,83162170245,2005-07-19,Camila da Rosa das Neves,977488,2024-01-12,vinicius_vieira@mail.com,2
130,Emanuel Silveira,1440839808,1990-10-03,Juan Barbosa Campos,83413,2021-11-22,emanuel_silveira@mail.com,2
131,Davi Luiz da Cruz,73713494654,1994-05-02,João Miguel Silveira Cardoso,931821,2019-08-25,davi_luiz@mail.com,4
132,Leonardo Porto,73820797544,1990-07-30,Lorena Pereira Aragão,211776,2021-03-20,leonardo_porto@mail.com,4
133,Amanda Barros,8285859123,1997-05-19,Igor Aragão Silva,38192,2020-07-26,amanda_barros@mail.com,3
134,Agatha Santos,35391970002,1986-02-17,Henrique Oliveira Santos,48388,2019-05-22,agatha_santos@mail.com,2
135,Vitor Cardoso,77502145990,1993-02-02,Luana Costa Viana,366400,2018-12-30,vitor_cardoso@mail.com,2
136,Vinicius das Neves,6372902512,1995-03-30,Erick Fogaça Duarte,485325,2023-10-09,vinicius_das@mail.com,2
137,Eduardo Melo,1325447786,1996-03-06,Juan Lopes Silveira,195184,2022-11-18,eduardo_melo@mail.com,6
138,Vitória da Conceição,51456034481,1984-11-18,Ana Beatriz da Luz Viana,244324,2019-09-08,vitória_da@mail.com,2
139,Maria Cunha,27918215506,1986-08-28,Luiz Felipe Moura Santos,592830,2019-08-29,maria_cunha@mail.com,5
140,Ana Lívia Almeida,15782657998,1989-02-03,Melissa Alves Moreira,391792,2020-02-11,ana_lívia@mail.com,3
141,Davi Lucca Aragão,57257575637,2004-03-10,Evelyn Souza Porto,216060,2022-05-07,davi_lucca@mail.com,4
142,Luiz Gustavo da Rosa,15047754671,1984-04-23,Carolina Pinto Santos,196238,2019-05-14,luiz_gustavo@mail.com,1
143,Natália Souza,77411138948,1992-04-27,Breno Ramos Oliveira,474157,2020-02-28,natália_souza@mail.com,2
144,Lucas Jesus,38815373055,1991-11-24,Giovanna Sales Barros,592691,2020-04-11,lucas_jesus@mail.com,1
145,Felipe Barros,17872316730,1986-08-05,João Gabriel Freitas Gomes,119632,2019-12-14,felipe_barros@mail.com,2
146,Cauê Correia,98581603928,1989-03-13,Ana Beatriz Ferreira Fogaça,532410,2022-12-09,cauê_correia@mail.com,6
147,Cecília Teixeira,88826193200,2001-10-07,Ian da Paz Monteiro,178740,2020-01-12,cecília_teixeira@mail.com,5
148,Alexandre Moraes,43513162257,1998-07-26,Isabelly Souza Nascimento,237780,2019-11-21,alexandre_moraes@mail.com,5
149,Lucca Peixoto,48493795374,2002-01-05,Marcelo Silva Fogaça,231207,2022-03-08,lucca_peixoto@mail.com,6
150,João Lucas Cardoso,59872450295,1998-03-24,Benício da Mata Ribeiro,858994,2022-05-23,joão_lucas@mail.com,5
151,Emanuella Moreira,54472526799,1998-05-01,Benício da Conceição Barbosa,129322,2019-09-25,emanuella_moreira@mail.com,6
152,Daniel Souza,26796776127,1999-05-01,Carolina Moura Fernandes,428801,2020-01-18,daniel_souza@mail.com,1
153,Valentina Santos,11196451672,1998-09-12,Gustavo da Costa Ferreira,509859,2019-04-30,valentina_santos@mail.com,6
154,Gabrielly Aragão,21294515086,1995-07-09,Gabrielly Vieira Azevedo,124476,2019-12-23,gabrielly_aragão@mail.com,1
155,Rafaela Aragão,74343918124,1996-10-25,Diego Jesus Rezende,438931,2021-10-09,rafaela_aragão@mail.com,3
156,Theo Campos,12434509474,1993-10-03,Yago Viana Vieira,143663,2023-06-21,theo_campos@mail.com,5
157,Gabriel Campos,38562294113,1997-05-12,Sophie da Rocha Nunes,626823,2022-03-08,gabriel_campos@mail.com,3
158,Breno Gonçalves,21149109489,2004-07-14,João Miguel Cavalcanti Melo,921571,2020-10-19,breno_gonçalves@mail.com,5
159,João Barbosa,16921438751,2000-11-02,Laís Novaes Moraes,608124,2023-06-10,joão_barbosa@mail.com,3
160,Bruno Lopes,6392023728,1990-08-14,Sarah Silva Nascimento,435326,2020-07-22,bruno_lopes@mail.com,2
161,Pedro Henrique Silva,52770652848,1996-10-18,Amanda Souza Cavalcanti,993361,2022-10-16,pedro_henrique@mail.com,3
162,Agatha Viana,20102958578,1992-01-04,Marcelo Barros Farias,770447,2021-06-23,agatha_viana@mail.com,1
163,Manuela Melo,36292869981,1990-10-16,Marcelo Teixeira Fernandes,950019,2020-06-13,manuela_melo@mail.com,1
164,Alana Pires,90097382816,1988-11-24,Rodrigo Freitas Martins,730748,2021-05-19,alana_pires@mail.com,6
165,Vitor Mendes,99029312955,1984-12-15,Lucca Peixoto Ramos,577263,2019-02-10,vitor_mendes@mail.com,1
166,Maria Vitória Sales,2408619421,2003-02-13,Isabel da Mota da Luz,68667,2022-03-21,maria_vitória@mail.com,2
167,Natália Pereira,53988313275,1993-05-17,Amanda da Mota da Rosa,691166,2021-11-04,natália_pereira@mail.com,6
168,Kamilly da Mata,52497605566,2001-07-25,Luiz Henrique Monteiro Pires,490515,2023-10-22,kamilly_da@mail.com,4
169,Fernanda Gonçalves,63884025952,1986-12-28,Carlos Eduardo Santos Cardoso,812053,2021-08-08,fernanda_gonçalves@mail.com,4
170,Pedro Cavalcanti,11463914380,1997-08-08,Danilo Ribeiro Moraes,349452,2020-01-27,pedro_cavalcanti@mail.com,6
171,Davi Lucca Martins,61628219280,2001-01-13,Julia Nascimento Oliveira,322692,2020-03-17,davi_lucca@mail.com,6
172,Maria Alice Gonçalves,87911489551,1995-11-03,Davi Gonçalves Lima,582750,2021-05-21,maria_alice@mail.com,2
173,Paulo Porto,63644069830,1990-04-04,Marcela Pereira Nogueira,98005,2022-02-07,paulo_porto@mail.com,2
174,Kamilly Pereira,9058597361,1986-09-05,Vinicius Silveira Fogaça,301137,2019-12-09,kamilly_pereira@mail.com,2
175,Isaac Pires,99558515993,2003-08-03,Isis Caldeira Souza,309066,2019-01-24,isaac_pires@mail.com,5
176,Samuel Porto,27630015957,2003-06-18,Maria Vitória Monteiro Ribeiro,856886,2020-06-24,samuel_porto@mail.com,5
177,Laura Pinto,43226576092,2004-01-26,Felipe Barros Rocha,135594,2021-11-30,laura_pinto@mail.com,6
178,Marcos Vinicius Caldeira,67020256329,1983-10-30,Bryan Nogueira Correia,681282,2022-03-14,marcos_vinicius@mail.com,3
179,Benício da Conceição,6247367731,2001-08-22,Diogo Fernandes Alves,750571,2023-10-09,benício_da@mail.com,4
180,Lara Pires,19520975206,1999-11-02,João Gabriel da Cunha da Rosa,258129,2021-11-19,lara_pires@mail.com,3
181,Stella Moreira,43866520250,1984-11-25,Luiza Mendes Peixoto,230246,2023-01-27,stella_moreira@mail.com,2
182,Vicente Moura,59225705479,1986-01-22,Anthony Nascimento Monteiro,360786,2019-11-16,vicente_moura@mail.com,6
183,Ana Luiza Cardoso,68627396189,1994-02-15,Eloah Melo Moraes,853335,2020-03-10,ana_luiza@mail.com,2
184,Isabella Cunha,5211602793,1996-09-18,João Felipe da Luz Moreira,943568,2021-04-04,isabella_cunha@mail.com,3
185,Benjamin da Mata,9198694211,1987-08-14,Augusto Jesus Gomes,951264,2021-08-25,benjamin_da@mail.com,4
186,Mariane Porto,70522168401,2001-04-20,Kevin Pinto Aragão,163122,2021-07-21,mariane_porto@mail.com,6
187,Kevin Gomes,91113886761,1999-10-02,Nina Fogaça Teixeira,698424,2020-01-14,kevin_gomes@mail.com,4
188,Maria Vitória Rodrigues,38195459361,1985-09-15,Eduarda Gomes Teixeira,103402,2020-08-31,maria_vitória@mail.com,6
189,João Costa,8820755955,2005-02-24,Marcela Novaes Campos,330466,2019-03-24,joão_costa@mail.com,5
190,Gabriel Cardoso,44790213759,1989-05-04,Emilly Cavalcanti Sales,425212,2021-02-26,gabriel_cardoso@mail.com,6
191,Ana Sophia da Luz,22750033665,1999-12-25,Miguel Martins Pires,51251,2019-07-25,ana_sophia@mail.com,4
192,Maria Cecília Monteiro,66493074168,1991-07-18,Rafaela Lopes Pires,147578,2020-03-18,maria_cecília@mail.com,1
193,Marina Campos,96789262519,2004-12-01,Alexia Silveira Costela,227709,2023-01-15,marina_campos@mail.com,5
194,Nathan Jesus,98636457262,1988-03-05,Ana Julia da Rosa Pinto,703963,2022-08-03,nathan_jesus@mail.com,5
195,Ian da Luz,49120613198,1992-11-03,Júlia Alves Azevedo,664597,2019-12-18,ian_da@mail.com,5
196,Daniela das Neves,53989099863,1997-01-14,Clarice Ribeiro Dias,176158,2020-04-13,daniela_das@mail.com,2
197,Vitória Cunha,85443131442,1999-06-24,Lívia Barros das Neves,315559,2020-11-21,vitória_cunha@mail.com,2
198,Lucas Sales,9442743205,2002-01-31,Ana Carolina Moraes Azevedo,925524,2023-09-26,lucas_sales@mail.com,2
199,Benjamin Moreira,93298387794,1991-08-22,Bianca Rezende Freitas,848080,2023-02-06,benjamin_moreira@mail.com,4
200,Gabrielly Moura,84088971509,1986-10-21,Ana Carolina Pires Fernandes,972317,2021-04-12,gabrielly_moura@mail.com,5
201,Francisco Carvalho,46098427837,1994-02-22,Leandro da Mota Jesus,889934,2020-04-12,francisco_carvalho@mail.com,6
202,Emanuella Oliveira,21190592971,1996-12-23,André Ramos Barros,875378,2019-08-01,emanuella_oliveira@mail.com,5
203,Sofia Oliveira,14243863225,1993-04-22,Pedro Mendes Mendes,856086,2022-07-26,sofia_oliveira@mail.com,6
204,Fernando Lopes,69848205698,1989-02-19,Vitória Araújo Correia,821530,2019-03-08,fernando_lopes@mail.com,4
205,Luna Cardoso,3102194933,1995-02-17,Maria Vitória da Paz da Rocha,519859,2022-05-19,luna_cardoso@mail.com,1
206,Ana Sophia Rezende,64373994636,1984-10-02,João Pedro Gonçalves Dias,321520,2020-10-29,ana_sophia@mail.com,3
207,Ryan Costela,62853810061,2001-01-23,Rafaela Carvalho Ribeiro,964396,2019-12-07,ryan_costela@mail.com,6
208,Luiza da Mata,25926509847,2001-05-16,Mirella Cunha Rodrigues,415676,2023-06-12,luiza_da@mail.com,5
209,Ana Julia Santos,76005657197,1989-10-02,Mariana Gomes Pereira,995842,2021-11-02,ana_julia@mail.com,3
210,Otávio da Cunha,48172942828,1991-11-11,Maria das Neves Castro,960509,2020-03-16,otávio_da@mail.com,1
211,Marina das Neves,4102142411,1988-07-31,Clara Santos Moraes,552521,2020-10-05,marina_das@mail.com,4
212,Luana Vieira,88043095792,1992-10-12,Lucas Fernandes Aragão,990034,2019-06-18,luana_vieira@mail.com,5
213,Marcos Vinicius Costela,64420421366,2005-04-16,Sarah da Conceição Novaes,993654,2019-12-06,marcos_vinicius@mail.com,1
214,Laura Teixeira,48755304727,1990-07-10,Felipe Barros Costa,503344,2022-01-08,laura_teixeira@mail.com,4
215,Diego Santos,76571475202,2005-01-04,Rafael Silveira Lopes,595271,2022-06-03,diego_santos@mail.com,6
216,Luna da Cunha,70548485095,1997-10-02,Heitor Nascimento da Rocha,139045,2023-02-18,luna_da@mail.com,1
217,Julia da Costa,14327266232,2003-03-18,Joaquim da Rocha Cardoso,999180,2023-09-18,julia_da@mail.com,6
218,Heloísa Barbosa,57805207042,1998-06-19,Bryan Pires Silveira,517798,2022-02-04,heloísa_barbosa@mail.com,2
219,Maitê da Rocha,73713051126,2005-02-05,Mariane Mendes Ribeiro,89760,2019-06-18,maitê_da@mail.com,6
220,Lavínia Araújo,97322264993,1994-02-26,Bruna Silva Vieira,577611,2022-09-22,lavínia_araújo@mail.com,6
221,Nathan Jesus,41378175506,1999-01-04,Miguel Peixoto da Conceição,367130,2022-01-16,nathan_jesus@mail.com,3
222,Alana Costela,41522498878,2000-06-19,Bernardo Moura Gonçalves,371546,2022-08-07,alana_costela@mail.com,5
223,Pedro Miguel Duarte,63466217431,1991-01-07,Gabriel Aragão Carvalho,772494,2019-04-22,pedro_miguel@mail.com,6
224,Luiz Otávio Porto,26261582280,1988-10-28,Diego Silveira Peixoto,74768,2019-07-06,luiz_otávio@mail.com,3
